Facility_Code,Health_Service,Facility_Name,Last_Month_In_QTR,Month,Quarter,Year,Triage_Category,Number_of_Attendances,Variation_Attendances_Percent,Patients_Seen_Within_Recommended_Times_Percent,Median_Waiting_Time_Minutes,Patients_Did_Not_Wait_For_Treatment_Percent,Patients_Admitted_From_ED_Percent,Admissions_To_Hospital_Within_4_Hours_Percent,ED_Stay_Within_4_Hours_Percent,Number_Left_After_Treatment_Commenced,Percent_Left_After_Treatment_Commenced,Number_Did_Not_Wait_For_Treatment
1,Mater Public Hospitals,Mater Adult,1/09/2024,9,3,2024,1,72,2.9,100,0,0,66.7,31.3,38.9,0,0,0
1,Mater Public Hospitals,Mater Adult,1/09/2024,9,3,2024,2,2951,19.9,44.1,13,0.9,44.6,22.5,33,82,2.8,28
1,Mater Public Hospitals,Mater Adult,1/09/2024,9,3,2024,3,5604,-8.6,59.8,24,3.6,39.5,25.4,37.5,211,3.8,202
1,Mater Public Hospitals,Mater Adult,1/09/2024,9,3,2024,4,3642,-6.5,79.4,28,7.4,22.8,34.3,55.4,156,4.3,268
1,Mater Public Hospitals,Mater Adult,1/09/2024,9,3,2024,5,539,-4.6,96.2,27,16.3,6.5,48.6,78.5,25,4.6,88
1,Mater Public Hospitals,Mater Adult,1/09/2024,9,3,2024,ALL,12808,-2.4,63,22,4.6,34.7,26.4,43.3,474,3.7,586
4,Metro North,Prince Charles,1/09/2024,9,3,2024,1,228,-2.1,100,0,0,78.1,51.1,49.1,2,0.9,0
4,Metro North,Prince Charles,1/09/2024,9,3,2024,2,4978,-7.3,75,6,0.2,59.6,44.1,49.1,98,2,10
4,Metro North,Prince Charles,1/09/2024,9,3,2024,3,13553,2.9,65,20,2.5,41.9,37.1,51.1,477,3.5,336
4,Metro North,Prince Charles,1/09/2024,9,3,2024,4,8974,3.1,78.1,23,3.6,15.3,44.4,76.9,313,3.5,324
4,Metro North,Prince Charles,1/09/2024,9,3,2024,5,1038,12.2,92.4,27,6.6,12.5,72.3,84.8,42,4,69
4,Metro North,Prince Charles,1/09/2024,9,3,2024,ALL,28771,1.3,72,16,2.6,35.9,40.7,60,932,3.2,739
11,Metro South,Princess Alexandra,1/09/2024,9,3,2024,1,733,0.1,100,1,0,92,53.4,53.2,1,0.1,0
11,Metro South,Princess Alexandra,1/09/2024,9,3,2024,2,4976,12.8,63,7,0.8,65.6,25.1,25.4,258,5.2,39
11,Metro South,Princess Alexandra,1/09/2024,9,3,2024,3,7955,1.9,59.6,23,1.6,47.3,25.7,30,681,8.6,127
11,Metro South,Princess Alexandra,1/09/2024,9,3,2024,4,2856,-12.5,77.4,28,4.4,22.8,20.7,37.4,415,14.5,127
11,Metro South,Princess Alexandra,1/09/2024,9,3,2024,5,820,-9.7,94.9,26,6.2,19.3,56.3,59.3,109,13.3,51
11,Metro South,Princess Alexandra,1/09/2024,9,3,2024,ALL,17340,1.3,66.7,16,2,49.1,27.9,32.3,1464,8.4,344
15,West Moreton,Ipswich,1/09/2024,9,3,2024,1,242,2.1,100,1,0,78.5,15.8,19,1,0.4,0
15,West Moreton,Ipswich,1/09/2024,9,3,2024,2,6228,16.1,51.7,10,0.8,53.8,28.1,32.3,582,9.3,51
15,West Moreton,Ipswich,1/09/2024,9,3,2024,3,9854,0.8,54.4,27,4.8,39.5,26.5,38.2,1340,13.6,475
15,West Moreton,Ipswich,1/09/2024,9,3,2024,4,2933,-18.6,72.3,30,8.2,21.7,29.7,54,394,13.4,240
15,West Moreton,Ipswich,1/09/2024,9,3,2024,5,322,-34.3,88.4,26,11.5,9.9,37.5,71.1,53,16.5,37
15,West Moreton,Ipswich,1/09/2024,9,3,2024,ALL,19579,0.6,57.2,19,4.1,41.4,27.2,39,2370,12.1,803
16,Metro North,Redcliffe,1/09/2024,9,3,2024,1,64,-38.5,100,1,0,73.4,34,37.5,1,1.6,0
16,Metro North,Redcliffe,1/09/2024,9,3,2024,2,2562,5.9,65.4,8,0.2,59,35.5,44.8,47,1.8,6
16,Metro North,Redcliffe,1/09/2024,9,3,2024,3,9930,8.8,59.5,23,2.8,43.1,27.5,39.5,756,7.6,274
16,Metro North,Redcliffe,1/09/2024,9,3,2024,4,4997,-13.3,71.5,32,5.5,19.9,30.5,58.8,381,7.6,277
16,Metro North,Redcliffe,1/09/2024,9,3,2024,5,566,-23.8,88.6,35,8.7,3.5,60,80,49,8.7,49
16,Metro North,Redcliffe,1/09/2024,9,3,2024,ALL,18119,-0.2,64.6,21,3.3,37.8,29.9,46.9,1234,6.8,606
63,Darling Downs,Cherbourg,1/09/2024,9,3,2024,1,1,-66.7,100,0,0,0,0,100,0,0,0
63,Darling Downs,Cherbourg,1/09/2024,9,3,2024,2,96,-14.3,73.6,4,5.2,25,50,66.7,8,8.3,5
63,Darling Downs,Cherbourg,1/09/2024,9,3,2024,3,322,-3.6,79.1,10,7.8,18.6,66.7,80.4,11,3.4,25
63,Darling Downs,Cherbourg,1/09/2024,9,3,2024,4,635,8.4,85.2,16,17.2,5.5,85.7,92.1,7,1.1,109
63,Darling Downs,Cherbourg,1/09/2024,9,3,2024,5,406,-10,97.5,17,13.1,3,91.7,95.3,2,0.5,53
63,Darling Downs,Cherbourg,1/09/2024,9,3,2024,ALL,1460,-1.7,86,14,13.2,9,71,88.8,28,1.9,192
70,Darling Downs,Kingaroy,1/09/2024,9,3,2024,1,57,18.8,100,0,0,29.8,0,19.3,2,3.5,0
70,Darling Downs,Kingaroy,1/09/2024,9,3,2024,2,898,56.4,40.1,14,0.9,20.3,4.9,27.4,27,3,8
70,Darling Downs,Kingaroy,1/09/2024,9,3,2024,3,1983,5.6,42.5,40,4.4,12.8,6.3,43.8,87,4.4,88
70,Darling Downs,Kingaroy,1/09/2024,9,3,2024,4,2193,-13.8,43.8,73,10.9,3.6,12.5,61.2,136,6.2,239
70,Darling Downs,Kingaroy,1/09/2024,9,3,2024,5,925,-23.1,73,52,11,2.1,47.4,79.4,31,3.4,102
70,Darling Downs,Kingaroy,1/09/2024,9,3,2024,ALL,6056,-3.1,47.2,43,7.2,9.1,8,52.9,283,4.7,437
22,Metro South,Queen Elizabeth II,1/09/2024,9,3,2024,1,159,59,100,1,0,82.4,19.8,26.4,0,0,0
22,Metro South,Queen Elizabeth II,1/09/2024,9,3,2024,2,3485,20.2,81.8,6,0,62,38.4,43.4,103,3,1
22,Metro South,Queen Elizabeth II,1/09/2024,9,3,2024,3,8899,2.2,60.8,22,1,42.8,26.2,35.7,1038,11.7,89
22,Metro South,Queen Elizabeth II,1/09/2024,9,3,2024,4,3250,-4.8,68.7,34,2.4,17.7,30.3,50.2,487,15,77
22,Metro South,Queen Elizabeth II,1/09/2024,9,3,2024,5,180,0,82.6,38,6.7,7.2,76.9,72.8,27,15,12
22,Metro South,Queen Elizabeth II,1/09/2024,9,3,2024,ALL,15973,4.4,67.6,15,1.1,41.9,30.5,40.6,1655,10.4,179
28,Metro South,Redland,1/09/2024,9,3,2024,1,142,32.7,100,0,0,70.4,24,28.2,1,0.7,0
28,Metro South,Redland,1/09/2024,9,3,2024,2,3530,17.7,71.7,7,0.3,58.1,47.4,52.7,62,1.8,9
28,Metro South,Redland,1/09/2024,9,3,2024,3,7391,-1.6,71.3,14,2.2,38.1,39.8,52,235,3.2,165
28,Metro South,Redland,1/09/2024,9,3,2024,4,3204,-9.2,78.2,17,3.4,12,40.5,74.1,107,3.3,109
28,Metro South,Redland,1/09/2024,9,3,2024,5,317,3.9,94.7,21,7.9,6,47.4,89,10,3.2,25
28,Metro South,Redland,1/09/2024,9,3,2024,ALL,14584,0.9,73.6,11,2.1,36.8,42.5,57.6,415,2.8,308
29,Metro South,Logan,1/09/2024,9,3,2024,1,422,18.2,100,0,0,77.7,24.1,28.4,12,2.8,0
29,Metro South,Logan,1/09/2024,9,3,2024,2,9328,10.9,66.6,8,0.4,51,34.9,34.2,592,6.3,37
29,Metro South,Logan,1/09/2024,9,3,2024,3,12689,-1.9,60.7,22,2.5,42.5,35.6,39.9,1485,11.7,317
29,Metro South,Logan,1/09/2024,9,3,2024,4,4588,-7.5,73.5,26,6.1,19.1,32.7,53.2,619,13.5,278
29,Metro South,Logan,1/09/2024,9,3,2024,5,524,-15.6,88.8,23,10.5,6.5,47.1,72.5,85,16.2,55
29,Metro South,Logan,1/09/2024,9,3,2024,ALL,27551,1,65.9,15,2.5,41.4,34.8,40.6,2793,10.1,687
30,Metro North,Caboolture,1/09/2024,9,3,2024,1,108,0.9,100,0,0,69.4,25.3,25,4,3.7,0
30,Metro North,Caboolture,1/09/2024,9,3,2024,2,3775,16.6,70.3,6,0.4,43.6,22.5,28,396,10.5,16
30,Metro North,Caboolture,1/09/2024,9,3,2024,3,9604,14.9,73,16,1.8,35.9,19.7,32,1797,18.7,169
30,Metro North,Caboolture,1/09/2024,9,3,2024,4,2766,-5.5,83.1,20,4.3,18.2,20.2,50.4,668,24.2,120
30,Metro North,Caboolture,1/09/2024,9,3,2024,5,130,-26.6,95.7,21,6.9,6.9,22.2,64.6,34,26.2,9
30,Metro North,Caboolture,1/09/2024,9,3,2024,ALL,16383,10.6,74.3,13,1.9,34.7,20.6,34.4,2899,17.7,314
32,Sunshine Coast,Sunshine Coast,1/09/2024,9,3,2024,1,194,-18.5,100,0,0,76.8,51,48.5,5,2.6,0
32,Sunshine Coast,Sunshine Coast,1/09/2024,9,3,2024,2,5596,2.1,86.3,5,0.1,57.6,34.3,40.7,99,1.8,4
32,Sunshine Coast,Sunshine Coast,1/09/2024,9,3,2024,3,12191,7.9,75.9,13,1.3,43.6,31.2,43.8,517,4.2,154
32,Sunshine Coast,Sunshine Coast,1/09/2024,9,3,2024,4,6440,11.5,78.3,21,3.1,17.7,36.1,63.1,475,7.4,201
32,Sunshine Coast,Sunshine Coast,1/09/2024,9,3,2024,5,595,-9.2,93.3,29,5.2,7.2,48.8,78.2,42,7.1,31
32,Sunshine Coast,Sunshine Coast,1/09/2024,9,3,2024,ALL,25016,6.7,79.4,11,1.6,39.5,33.1,48.9,1138,4.5,390
41,Metro South,Beaudesert,1/09/2024,9,3,2024,1,9,12.5,100,1,0,11.1,0,66.7,0,0,0
41,Metro South,Beaudesert,1/09/2024,9,3,2024,2,655,38.5,74.5,7,0,12.1,19,61.2,8,1.2,0
41,Metro South,Beaudesert,1/09/2024,9,3,2024,3,1628,15.5,92.8,9,3,11.3,16.3,70.7,40,2.5,49
41,Metro South,Beaudesert,1/09/2024,9,3,2024,4,1793,2.2,96.6,8,5.4,3.5,21,86.1,60,3.3,97
41,Metro South,Beaudesert,1/09/2024,9,3,2024,5,311,-26.3,100,6,5.1,1.6,40,94.2,5,1.6,16
41,Metro South,Beaudesert,1/09/2024,9,3,2024,ALL,4396,8.1,91.7,8,3.7,7.5,18.1,77.2,113,2.6,162
46,Metro North,Kilcoy,1/09/2024,9,3,2024,1,1,-50,100,0,0,0,0,0,0,0,0
46,Metro North,Kilcoy,1/09/2024,9,3,2024,2,78,41.8,79.2,0,0,12.8,40,73.1,0,0,0
46,Metro North,Kilcoy,1/09/2024,9,3,2024,3,194,29.3,88,2,1,7.7,73.3,86.1,0,0,2
46,Metro North,Kilcoy,1/09/2024,9,3,2024,4,332,49.5,95.3,0,2.1,4.2,64.3,92.8,4,1.2,7
46,Metro North,Kilcoy,1/09/2024,9,3,2024,5,259,-5.5,99.1,5,3.1,2.3,66.7,94.2,1,0.4,8
